product_title,original_url,raw_sku,proposed_id,category,page_path,image_count,valid_images,missing_images,image_completeness,has_title,has_description,has_dimensions,has_price,has_category,has_thumbnail,linked_from_home,selection_reason,keep_drop
more works by Camille Gauthier,https://newel.com/product/set-of-6-camille-gauthier-french-art-nouveau-ombelle-foliate-carved-side-chairs,NWL6949,product-nwl6949,furniture.html,newel.com/product/set-of-6-camille-gauthier-french-art-nouveau-ombelle-foliate-carved-side-chairs.html,87,81,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
"more works by Dunbar,Edward Wormley",https://newel.com/product/Edward-J-Wormley-for-Dunbar-Furniture-Co-Mid-Century-American-Two-Section-Walnut-Chest,DUF0266B,product-duf0266b,furniture.html,newel.com/product/Edward-J-Wormley-for-Dunbar-Furniture-Co-Mid-Century-American-Two-Section-Walnut-Chest.html,80,73,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
related items,https://newel.com/product/french-louis-xv-style-inlaid-bombe-shaped-commode-7895,NWL7895,product-nwl7895,furniture.html,newel.com/product/french-louis-xv-style-inlaid-bombe-shaped-commode-7895.html,78,73,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
related items,https://newel.com/product/italian-venetian-grotto-seashell-tete-a-tete,055582,product-055582,furniture.html,newel.com/product/italian-venetian-grotto-seashell-tete-a-tete.html,77,73,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
"more works by Dunbar,Edward Wormley",https://newel.com/product/pair-of-edward-wormley-for-dunbar-american-mid-century-square-wooden-two-tier-end-side-tables,DUF0729,product-duf0729,furniture.html,newel.com/product/pair-of-edward-wormley-for-dunbar-american-mid-century-square-wooden-two-tier-end-side-tables.html,74,68,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
related items,https://newel.com/product/Roger-Sprunger-for-Dunbar-American-Mid-Century-Bronze-and-Smoked-Glass-Coffee-Cocktail-Table,DUF0064,product-duf0064,furniture.html,newel.com/product/Roger-Sprunger-for-Dunbar-American-Mid-Century-Bronze-and-Smoked-Glass-Coffee-Cocktail-Table.html,72,67,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
more works by Aldo Tura,https://newel.com/product/contemporary-american-brown-lacquered-wooden-desk,063540,product-063540,furniture.html,newel.com/product/contemporary-american-brown-lacquered-wooden-desk.html,70,62,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
more works by Chapter Studio,https://newel.com/product/contemporary-middle-eastern-marble-brown-and-white-console,NWL8736,product-nwl8736,furniture.html,newel.com/product/contemporary-middle-eastern-marble-brown-and-white-console.html,67,62,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
more works by Gary DiPasquale,https://newel.com/product/gary-dipasquale-contemporary-wave-form-clay-and-white-glazed-table-lamp,NWL7595,product-nwl7595,lighting.html,newel.com/product/gary-dipasquale-contemporary-wave-form-clay-and-white-glazed-table-lamp.html,69,62,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
related items,https://newel.com/product/english-regency-bird-base-console,028069,product-028069,furniture.html,newel.com/product/english-regency-bird-base-console.html,66,61,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
more works by Dessislava Madanska,https://newel.com/product/contemporary-brass-mirror-candle-holder,NWL8761,product-nwl8761,decor,newel.com/product/contemporary-brass-mirror-candle-holder.html,61,57,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
related items,https://newel.com/product/contemporary-brass-slit-mirror,NWL8737,product-nwl8737,mirrors.html,newel.com/product/contemporary-brass-slit-mirror.html,36,32,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
more works by Roger Capron,https://newel.com/product/french-ceramic-sunburst-coffee-table-1,060478,product-060478,furniture.html,newel.com/product/french-ceramic-sunburst-coffee-table-1.html,38,32,1,complete,true,true,true,true,true,true,true,complete+homepage,keep
more works by Atelier Barda,https://newel.com/product/contemporary-stainless-steel-chabanel-chair,NWL8717,product-nwl8717,furniture.html,newel.com/product/contemporary-stainless-steel-chabanel-chair.html,31,27,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
more works by Evan Fay,https://newel.com/product/contemporary-upholstered-foam-unique-bench,NWL8711,product-nwl8711,furniture.html,newel.com/product/contemporary-upholstered-foam-unique-bench.html,30,27,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
"more works by Maison Bagues,Murano",https://newel.com/product/French-Mid-Century-Metal-and-Murano-Glass-Bird-Chandelier,059283,product-059283,lighting.html,newel.com/product/French-Mid-Century-Metal-and-Murano-Glass-Bird-Chandelier.html,35,25,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
more works by Murano,https://newel.com/product/italian-venetian-murano-gold-dusted-glass-wall-sconces-1,JKG2384,product-jkg2384,lighting.html,newel.com/product/italian-venetian-murano-gold-dusted-glass-wall-sconces-1.html,36,25,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
more works by Murano,https://newel.com/product/italian-venetian-murano-smoked-glass-chandelier-10,JKG2029,product-jkg2029,lighting.html,newel.com/product/italian-venetian-murano-smoked-glass-chandelier-10.html,30,20,0,complete,true,true,true,true,true,true,true,complete+homepage,keep
related items,https://newel.com/product/Pair-of-Outdoor-Neo-Classical-Natural-Patina-Iron-Flute-and-Tambourine-Playing-Putti-Statues,GRS6254,product-grs6254,sculpture.html,newel.com/product/Pair-of-Outdoor-Neo-Classical-Natural-Patina-Iron-Flute-and-Tambourine-Playing-Putti-Statues.html,162,158,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/Thai-Gold-and-Red-Wooden-Bodhisattva-Statues,NWL2204,product-nwl2204,sculpture.html,newel.com/product/Thai-Gold-and-Red-Wooden-Bodhisattva-Statues.html,150,145,0,complete,true,true,true,true,true,true,false,complete-local-images,keep
